"id" "idade" "regiao.r" "valorImovel" "renda" "tempoFinanciamento" "X.rendaFinanciamento" "banco.r" "avaliacao.r" "dataHoraEntrada" "dataHoraSaida" "dataHoraAvaliacao" "tempoAcesso" "paginaSaida.r" "statusSaida" "paginaSaida"
25 37 "mooca" 96716.94 4476.83 22 7.31 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:08" "2021-05-21 18:01:57" 165 "login" "40%" 4
26 32 "santo-amaro" 95002.93 5362.43 17 8.56 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:00:01" "2021-05-21 17:58:54" 38 "login" "40%" 4
27 44 "mooca" 101372.81 3160.09 29 5.95 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:05:04" "2021-05-21 18:03:14" 341 "cadastro" "60%" 3
28 41 "mooca" 82945.86 5561.66 26 6.46 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:41" "2021-05-21 18:01:59" 258 "cadastro" "60%" 3
29 34 "consolação" 81807.4 5891.03 19 8.13 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:06" "2021-05-21 17:59:53" 103 "hub" "80%" 2
30 46 "consolação" 78452.39 5395.64 31 5.65 "Banco do Presil" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:05:53" "2021-05-21 18:04:31" 390 "hub" "80%" 2
31 42 "interlagos" 99061.92 5076.59 27 6.29 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:14" "2021-05-21 18:03:50" 291 "home" "20%" 5
32 39 "interlagos" 59214.42 7400.09 24 6.84 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:02:48" "2021-05-21 18:01:39" 205 "home" "20%" 5
33 44 "mooca" 104429.16 4105.77 29 5.97 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:05:10" "2021-05-21 18:04:39" 347 "login" "40%" 4
34 44 "santo-amaro" 99687.48 5765.72 29 5.96 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:05:08" "2021-05-21 18:04:22" 345 "login" "40%" 4
35 44 "centro" 90142.07 6559.21 29 5.95 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:05:02" "2021-05-21 18:03:34" 339 "dash" "100%" 1
36 43 "brooklin" 108789.07 6132.49 28 6.13 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:04:46" "2021-05-21 18:04:20" 323 "cadastro" "60%" 3
37 43 "santo-amaro" 121969.19 4748.58 28 6.1 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:29" "2021-05-21 18:03:21" 306 "login" "40%" 4
38 40 "consolação" 105116.35 3893.04 25 6.65 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:16" "2021-05-21 18:02:03" 233 "hub" "80%" 2
39 38 "brooklin" 77815.48 6185.05 23 7.13 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:46" "2021-05-21 18:01:44" 203 "hub" "80%" 2
40 38 "consolação" 88069.6 3272.33 23 7.1 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:02:37" "2021-05-21 18:00:42" 194 "hub" "80%" 2
41 37 "consolação" 93306.48 5158.76 22 7.27 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:00" "2021-05-21 18:01:31" 157 "hub" "80%" 2
42 39 "brooklin" 139646.48 4330.83 24 6.87 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:58" "2021-05-21 18:01:40" 215 "cadastro" "60%" 3
43 34 "brooklin" 101172.51 5972.89 19 8.03 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:51" "2021-05-21 17:59:54" 88 "cadastro" "60%" 3
44 51 "brooklin" 108912.42 3569.37 36 4.98 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:07:43" "2021-05-21 18:06:51" 500 "hub" "80%" 2
45 46 "consolação" 96965.5 5730.34 31 5.64 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:05:48" "2021-05-21 18:04:34" 385 "hub" "80%" 2
46 34 "consolação" 99097.7 4609.04 19 8.14 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:01:08" "2021-05-21 18:00:39" 105 "hub" "80%" 2
47 38 "consolação" 75471.31 4189.21 23 7.09 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:35" "2021-05-21 18:02:14" 192 "hub" "80%" 2
48 38 "brooklin" 89143.5 4518.95 23 7.06 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:27" "2021-05-21 18:01:42" 184 "cadastro" "60%" 3
49 44 "consolação" 98312.89 6523.54 29 5.94 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:04:57" "2021-05-21 18:03:04" 334 "hub" "80%" 2
50 40 "santo-amaro" 124547.36 4337.03 25 6.64 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:03:13" "2021-05-21 18:02:11" 230 "login" "40%" 4
51 41 "centro" 88448.69 5728.54 26 6.49 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:03:53" "2021-05-21 18:02:43" 270 "dash" "100%" 1
52 40 "brooklin" 94372.52 5943.03 25 6.66 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:20" "2021-05-21 18:02:26" 237 "cadastro" "60%" 3
53 40 "santo-amaro" 78838.8 5361.39 25 6.65 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:18" "2021-05-21 18:02:04" 235 "login" "40%" 4
54 47 "consolação" 101826.16 6060.03 32 5.49 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:06:07" "2021-05-21 18:05:36" 404 "dash" "100%" 1
55 39 "mooca" 93124.09 5739.84 24 6.86 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:02:56" "2021-05-21 18:01:21" 213 "cadastro" "60%" 3
56 48 "consolação" 90339.34 1394.42 33 5.34 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:06:25" "2021-05-21 18:05:07" 422 "hub" "80%" 2
57 32 "consolação" 98844.92 5869.05 17 8.7 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:00:17" "2021-05-21 17:59:41" 54 "hub" "80%" 2
58 43 "santo-amaro" 79352.66 3685.38 28 6.11 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:04:33" "2021-05-21 18:03:31" 310 "login" "40%" 4
59 41 "santo-amaro" 78649.14 4991.03 26 6.45 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:38" "2021-05-21 18:02:17" 255 "home" "20%" 5
60 41 "brooklin" 102968.42 4261.33 26 6.48 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:49" "2021-05-21 18:02:32" 266 "hub" "80%" 2
61 42 "mooca" 107089.92 5180.23 27 6.28 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:09" "2021-05-21 18:02:25" 286 "login" "40%" 4
62 37 "centro" 148252.16 3833.74 22 7.36 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:23" "2021-05-21 18:01:41" 180 "dash" "100%" 1
63 38 "brooklin" 71486.81 4568.95 23 7.12 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:43" "2021-05-21 18:01:10" 200 "cadastro" "60%" 3
64 35 "consolação" 66947.04 4267.08 20 7.8 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:21" "2021-05-21 17:59:50" 118 "hub" "80%" 2
65 35 "santo-amaro" 130720.79 5361.78 20 7.76 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:14" "2021-05-21 18:00:19" 111 "login" "40%" 4
66 42 "brooklin" 86288.6 3925.03 27 6.26 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:03:59" "2021-05-21 18:03:28" 276 "cadastro" "60%" 3
67 42 "santo-amaro" 96849.81 4765.38 27 6.3 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:04:17" "2021-05-21 18:03:50" 294 "login" "40%" 4
68 40 "santo-amaro" 117192.97 6426.47 25 6.68 "Banco Cifra" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:03:29" "2021-05-21 18:02:15" 246 "login" "40%" 4
69 45 "santo-amaro" 117630.01 4377.27 30 5.77 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:05:14" "2021-05-21 18:04:16" 351 "login" "40%" 4
70 50 "brooklin" 120036.96 5437.86 35 5.11 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:07:29" "2021-05-21 18:05:36" 486 "cadastro" "60%" 3
71 38 "santo-amaro" 88427.92 5559.34 23 7.05 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:24" "2021-05-21 18:01:08" 181 "login" "40%" 4
72 28 "mooca" 77886.13 5031.87 13 10.07 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 17:58:46" "2021-05-21 17:57:57" NA "login" "40%" 4
73 45 "santo-amaro" 59226.81 3912.82 30 5.79 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:05:24" "2021-05-21 18:04:55" 361 "login" "40%" 4
74 36 "centro" 114055.76 4399.1 21 7.61 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:58" "2021-05-21 18:01:15" 155 "dash" "100%" 1
75 37 "brooklin" 91852.7 3790.42 22 7.27 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:02:00" "2021-05-21 18:00:50" 157 "cadastro" "60%" 3
76 45 "consolação" 106034.39 4887.52 30 5.79 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:05:26" "2021-05-21 18:04:40" 363 "hub" "80%" 2
77 39 "brooklin" 127146.73 6620.08 24 6.84 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:49" "2021-05-21 18:01:34" 206 "cadastro" "60%" 3
78 34 "mooca" 147676.54 4666.5 19 8.06 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:57" "2021-05-21 18:00:07" 94 "cadastro" "60%" 3
79 41 "brooklin" 120323.19 4671.74 26 6.47 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:03:45" "2021-05-21 18:02:48" 262 "hub" "80%" 2
80 39 "consolação" 112372.22 6023.44 24 6.89 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:06" "2021-05-21 18:02:28" 223 "dash" "100%" 1
81 40 "consolação" 97621.31 5005.33 25 6.67 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:03:24" "2021-05-21 18:01:27" 241 "hub" "80%" 2
82 42 "mooca" 128469.51 4830.78 27 6.28 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:09" "2021-05-21 18:02:59" 286 "login" "40%" 4
83 38 "brooklin" 112557.87 5230.05 23 7.1 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:39" "2021-05-21 18:01:32" 196 "cadastro" "60%" 3
84 43 "santo-amaro" 87114.65 5628.96 28 6.12 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:40" "2021-05-21 18:04:31" 317 "login" "40%" 4
85 39 "consolação" 38290.24 5407.3 24 6.86 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:57" "2021-05-21 18:01:37" 214 "dash" "100%" 1
86 42 "brooklin" 78186.18 6386.57 27 6.27 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:03" "2021-05-21 18:03:34" 280 "cadastro" "60%" 3
87 45 "interlagos" 124102.2 6654.23 30 5.81 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:05:35" "2021-05-21 18:05:02" 372 "home" "20%" 5
88 42 "santo-amaro" 122769.91 5165.83 27 6.3 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:15" "2021-05-21 18:02:47" 292 "home" "20%" 5
89 38 "santo-amaro" 148145.22 6510.43 23 7.12 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:44" "2021-05-21 18:01:58" 201 "home" "20%" 5
90 46 "consolação" 92427.33 5057.48 31 5.63 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:05:41" "2021-05-21 18:05:33" 378 "hub" "80%" 2
91 45 "consolação" 73632.32 4987.98 30 5.79 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:05:22" "2021-05-21 18:03:29" 359 "hub" "80%" 2
92 43 "mooca" 110452.9 3469.03 28 6.1 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:04:29" "2021-05-21 18:04:40" 306 "login" "40%" 4
93 41 "brooklin" 117531.82 6621.74 26 6.48 "S16 Bank" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:03:52" "2021-05-21 18:02:35" 269 "hub" "80%" 2
94 37 "mooca" 106168.96 5391.66 22 7.3 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:08" "2021-05-21 18:00:37" 165 "login" "40%" 4
95 47 "brooklin" 111607.38 5568.91 32 5.49 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:06:06" "2021-05-21 18:05:25" 403 "hub" "80%" 2
96 37 "consolação" 90113.3 5852.74 22 7.32 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:02:11" "2021-05-21 18:00:58" 168 "hub" "80%" 2
97 51 "santo-amaro" 117826.76 7132.98 36 4.98 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:07:45" "2021-05-21 18:06:32" 502 "login" "40%" 4
98 48 "centro" 129625.31 4097.15 33 5.35 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:06:27" "2021-05-21 18:04:56" 424 "dash" "100%" 1
99 39 "brooklin" 52221.27 2255.58 24 6.86 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:55" "2021-05-21 18:01:40" 212 "cadastro" "60%" 3
100 35 "mooca" 127873.26 5115.42 20 7.8 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:01:20" "2021-05-21 18:00:27" 117 "cadastro" "60%" 3
101 36 "mooca" 88267.49 4955.26 21 7.61 "S16 Bank" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:01:58" "2021-05-21 18:00:31" 155 "cadastro" "60%" 3
102 41 "brooklin" 71299.93 6472.03 26 6.49 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:54" "2021-05-21 18:02:30" 271 "hub" "80%" 2
103 39 "brooklin" 127599.95 4992.66 24 6.85 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:53" "2021-05-21 18:02:21" 210 "cadastro" "60%" 3
104 38 "interlagos" 92768.75 4791.85 23 7.11 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:02:41" "2021-05-21 18:02:23" 198 "home" "20%" 5
105 35 "brooklin" 93066.78 5139.08 20 7.84 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:29" "2021-05-21 18:00:24" 126 "cadastro" "60%" 3
106 40 "santo-amaro" 78105.43 3138.08 25 6.65 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:03:18" "2021-05-21 18:02:26" 235 "home" "20%" 5
107 36 "interlagos" 100081.98 6122.27 21 7.57 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:49" "2021-05-21 18:01:19" 146 "home" "20%" 5
108 32 "mooca" 106639.79 4468.5 17 8.58 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:03" "2021-05-21 17:59:00" 40 "cadastro" "60%" 3
109 38 "brooklin" 96899.4 6079.36 23 7.1 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:37" "2021-05-21 18:02:17" 194 "cadastro" "60%" 3
110 45 "consolação" 96776.85 4306 30 5.77 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:05:13" "2021-05-21 18:04:08" 350 "hub" "80%" 2
111 37 "interlagos" 107477.81 4040.77 22 7.33 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:02:14" "2021-05-21 18:01:33" 171 "home" "20%" 5
112 43 "brooklin" 100457.48 5420.96 28 6.11 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:36" "2021-05-21 18:03:07" 313 "hub" "80%" 2
113 32 "centro" 71248.47 5324.33 17 8.63 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:09" "2021-05-21 17:57:56" 46 "dash" "100%" 1
114 40 "interlagos" 89265.09 4418.91 25 6.65 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:16" "2021-05-21 18:02:43" 233 "home" "20%" 5
115 43 "santo-amaro" 121250.07 5785.53 28 6.09 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:04:25" "2021-05-21 18:02:53" 302 "login" "40%" 4
116 42 "consolação" 94629.26 5597.08 27 6.26 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:03:59" "2021-05-21 18:02:34" 276 "hub" "80%" 2
117 41 "mooca" 84564.65 4904.04 26 6.44 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:36" "2021-05-21 18:02:38" 253 "cadastro" "60%" 3
118 37 "interlagos" 102735.68 4053.06 22 7.3 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:06" "2021-05-21 18:01:20" 163 "home" "20%" 5
119 36 "mooca" 82337.22 4994.33 21 7.53 "S16 Bank" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:01:41" "2021-05-21 17:59:54" 138 "cadastro" "60%" 3
120 35 "brooklin" 138574.4 4873.18 20 7.8 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:20" "2021-05-21 18:01:20" 117 "cadastro" "60%" 3
121 41 "mooca" 108770.04 5107.14 26 6.45 "S16 Bank" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:03:37" "2021-05-21 18:02:56" 254 "login" "40%" 4
122 35 "brooklin" 129315.51 4434.2 20 7.85 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:29" "2021-05-21 18:01:12" 126 "hub" "80%" 2
123 38 "brooklin" 99165.66 3203.96 23 7.05 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:24" "2021-05-21 18:00:42" 181 "hub" "80%" 2
124 39 "consolação" 109036.1 6664.32 24 6.85 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:02:52" "2021-05-21 18:01:58" 209 "hub" "80%" 2
125 49 "brooklin" 126139.39 4293.26 34 5.23 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:07:04" "2021-05-21 18:06:20" 461 "hub" "80%" 2
126 37 "interlagos" 102580.31 4920.76 22 7.29 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:02:05" "2021-05-21 17:59:29" 162 "home" "20%" 5
127 41 "consolação" 108294.89 4981.52 26 6.48 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:03:51" "2021-05-21 18:02:53" 268 "hub" "80%" 2
128 40 "centro" 60786.03 3654.45 25 6.69 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:03:32" "2021-05-21 18:02:45" 249 "dash" "100%" 1
129 35 "consolação" 111006.75 5120.27 20 7.84 "Banco do Presil" NA "2021-05-21 17:59:23" "2021-05-21 18:01:28" "2021-05-21 18:00:19" 125 "hub" "80%" 2
130 40 "mooca" 147046.78 5190.8 25 6.64 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:03:14" "2021-05-21 18:03:01" 231 "login" "40%" 4
131 47 "mooca" 133727.66 4523.81 32 5.5 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:06:16" "2021-05-21 18:05:01" 413 "cadastro" "60%" 3
132 42 "santo-amaro" 59122.93 7199.7 27 6.3 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:17" "2021-05-21 18:03:20" 294 "home" "20%" 5
133 40 "mooca" 82111.68 4245.53 25 6.68 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:03:28" "2021-05-21 18:02:14" 245 "login" "40%" 4
134 38 "santo-amaro" 77087.64 4793.68 23 7.08 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:32" "2021-05-21 18:02:01" 189 "login" "40%" 4
135 30 "mooca" 40974.33 5402.75 15 9.18 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 17:59:17" "2021-05-21 17:58:48" NA "cadastro" "60%" 3
136 46 "mooca" 138211.25 6110.41 31 5.62 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:05:39" "2021-05-21 18:05:00" 376 "login" "40%" 4
137 33 "santo-amaro" 84255.32 4909.75 18 8.3 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:28" "2021-05-21 17:59:51" 65 "login" "40%" 4
138 44 "santo-amaro" 73297.7 4737.8 29 5.93 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:04:52" "2021-05-21 18:03:13" 329 "login" "40%" 4
139 50 "interlagos" 131121.5 4191.01 35 5.09 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:07:12" "2021-05-21 18:05:25" 469 "home" "20%" 5
140 33 "brooklin" 111496.9 5182.33 18 8.32 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:00:30" "2021-05-21 17:59:35" 67 "cadastro" "60%" 3
141 44 "brooklin" 104192.65 5846.56 29 5.92 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:47" "2021-05-21 18:03:58" 324 "hub" "80%" 2
142 39 "brooklin" 93124.92 5204.29 24 6.85 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:52" "2021-05-21 18:02:02" 209 "cadastro" "60%" 3
143 32 "centro" 112308.07 2359.23 17 8.68 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:00:14" "2021-05-21 17:59:12" 51 "dash" "100%" 1
