"id" "dataNasc" "cep"
92 "17/04/1976" "04030-050"
93 "04/12/1996" "04754-030"
94 "19/03/1995" "03974-060"
95 "14/07/1976" "03810-110"
96 "19/01/1990" "08210-320"
97 "21/07/1980" "02451-010"
98 "04/03/1977" "03612-160"
99 "30/01/1998" "04274-065"
100 "08/01/1974" "01034-031"
101 "10/12/1993" "01028-021"
102 "04/02/1991" "01033-040"
103 "05/04/1976" "01033-902"
104 "01/01/1977" ""
105 "28/02/1984" "01007-041"
106 "28/02/1983" "01031-901"
107 "03/05/1976" ""
108 "06/08/1974" "01027-021"
109 "16/05/1987" "01010-010"
110 "11/12/1984" "01010-900"
111 "13/10/1971" ""
112 "26/05/1992" "01010-901"
113 "24/04/1988" ""
114 "02/09/1986" "01034-001"
115 "25/05/1997" ""
116 "07/04/1985" "01034-902"
117 "06/02/1987" ""
118 "19/03/1992" "01034-903"
119 "06/01/1987" ""
120 "16/09/1990" "01034-000"
121 "21/02/1974" ""
122 "07/06/1981" "01025-011"
123 "22/12/1982" "01036-971"
124 "29/02/1992" "01023-001"
125 "31/03/1990" ""
126 "18/06/1980" "01023-902"
127 "09/04/1972" ""
128 "13/09/1989" "01023-000"
129 "13/05/1982" ""
130 "06/11/1992" "01033-020"
131 "01/03/1980" "01033-905"
132 "17/06/1981" ""
133 "10/10/1984" "01033-904"
134 "16/05/1975" ""
135 "01/12/1997" "01014-001"
136 "22/08/1975" ""
137 "16/09/1991" "01014-913"
138 "02/03/1988" ""
139 "18/10/1978" "01014-906"
140 "25/08/1980" ""
141 "11/09/1999" ""
142 "04/11/1992" "01228-905"
143 "31/03/1980" ""
144 "18/12/1970" "01227-902"
145 "12/05/1994" ""
146 "19/01/1971" "01227-200"
147 "31/12/1981" ""
148 "09/10/1975" "01309-011"
149 "19/04/1991" ""
150 "26/03/1983" "01309-010"
151 "20/09/1976" ""
152 "15/01/1992" "01309-905"
153 "14/10/1995" ""
154 "06/02/1997" "01309-904"
155 "05/04/1973" ""
156 "07/12/1994" "01309-906"
157 "08/03/1987" ""
158 "25/06/1998" "01305-000"
159 "17/12/1994" ""
160 "04/11/1996" "01305-902"
161 "23/02/1988" ""
162 "31/01/1974" "01305-900"
163 "19/11/1970" ""
164 "30/07/1997" "01305-901"
165 "18/11/1998" ""
166 "18/12/1973" "01305-904"
167 "04/05/1990" ""
168 "15/09/1993" "01304-902"
169 "24/07/1982" ""
170 "22/03/1991" "01305-904"
171 "21/03/1987" ""
172 "22/04/1976" "01304-900"
173 "02/02/1987" ""
174 "19/06/1985" "01304-902"
175 "21/02/1990" ""
176 "30/09/1984" "01304-000"
177 "21/12/1995" ""
178 "06/04/1987" "01305-101"
179 "05/11/1971" ""
180 "10/11/1997" "01304-002"
181 "14/03/1987" ""
182 "17/02/1991" "01243-031"
183 "21/12/1978" "01307-031"
184 "24/10/1984" "01415-000"
185 "28/11/1989" ""
186 "25/04/1973" "01415-908"
187 "22/11/1972" ""
188 "22/06/1987" "04754-031"
189 "06/03/1978" "04713-011"
190 "01/04/1991" "04755-001"
191 "06/06/1988" "04710-121"
192 "30/10/1970" "04733-000"
193 "27/01/1998" ""
194 "02/03/1991" "04733-959"
195 "14/06/1991" ""
196 "19/03/1977" "04734-001"
197 "12/08/1993" ""
198 "26/09/1976" "04733-101"
199 "01/08/1993" ""
200 "22/07/1973" "04734-001"
201 "20/05/1990" ""
202 "18/02/1970" "04734-002"
203 "12/11/1974" ""
204 "21/10/1981" "04733-201"
205 "24/09/1998" ""
206 "10/08/1981" "04734-902"
207 "14/03/1975" ""
208 "17/01/1986" "04734-900"
209 "22/09/1974" ""
210 "29/09/1972" "04734-904"
211 "24/07/1995" ""
212 "08/03/1978" "04734-901"
213 "11/01/1998" ""
214 "16/07/1988" "04734-003"
215 "20/10/1982" ""
216 "17/12/1983" "04733-300"
217 "12/04/1984" ""
218 "20/04/1985" "04733-400"
219 "07/06/1983" ""
220 "08/02/1986" "04734-005"
221 "24/11/1990" ""
222 "16/03/1970" "04747-151"
223 "22/02/1999" "04756-061"
224 "16/06/1994" "04710-151"
225 "01/11/1975" "04750-041"
226 "12/01/1982" "05874-011"
227 "18/12/1999" "04740-021"
228 "30/08/1994" "03195-106"
229 "10/07/1987" "03178-056"
230 "20/06/1988" "03162-036"
231 "05/08/1995" "03113-051"
232 "20/08/1989" "03168-031"
233 "28/03/1978" "03116-061"
234 "14/03/1976" "03127-026"
235 "15/06/1995" "03125-081"
236 "14/03/1983" "03164-121"
237 "27/04/1988" ""
238 "28/05/1977" "03162-011"
239 "06/09/1970" ""
240 "01/06/1980" "03104-041"
241 "10/08/1995" "03190-021"
242 "27/05/1983" "03169-046"
243 "02/03/1990" "03128-021"
244 "02/06/1976" "03178-081"
245 "20/04/1974" "03105-101"
246 "27/03/1998" "03182-011"
247 "11/11/1991" "03190-141"
248 "18/02/1981" "03109-051"
249 "05/02/1979" "03176-111"
250 "29/07/1986" "03108-071"
251 "05/12/1994" "03176-061"
252 "15/07/1990" "03128-060"
253 "29/05/1979" "03128-090"
254 "10/09/1981" "03127-021"
255 "03/09/1985" "04570-031"
256 "25/01/1993" "04622-051"
257 "15/11/1991" "04570-101"
258 "05/10/1984" "04622-061"
259 "07/12/1983" "04558-021"
260 "29/05/1984" "04571-121"
261 "07/03/1996" "04562-070"
262 "07/01/1976" "04562-080"
263 "04/03/1981" "04562-907"
264 "05/01/1993" ""
265 "06/05/1973" "04561-041"
266 "01/05/1983" "04623-060"
267 "26/11/1976" "04570-130"
268 "28/12/1974" "04570-040"
269 "16/10/1975" "04562-030"
270 "08/10/1976" ""
271 "01/07/1978" "04562-908"
272 "21/07/1999" ""
273 "14/01/1980" "04562-909"
274 "29/06/1975" ""
275 "10/11/1970" "04562-910"
276 "01/12/1973" ""
277 "27/12/1976" "04562-031"
278 "12/02/1973" ""
279 "07/01/1982" "04568-030"
280 "02/07/1985" "04568-050"
281 "14/04/1994" "04601-011"
282 "20/12/1997" "04570-971"
283 "12/10/1985" "04556-971"
284 "17/05/1971" "04558-061"
285 "27/05/1994" "04557-011"
286 "02/06/1972" "04788-241"
287 "23/03/1973" "04816-070"
288 "18/09/1975" "04816-030"
289 "25/02/1992" "04809-190"
290 "20/07/1974" "04809-150"
291 "11/06/1980" "04815-231"
292 "08/11/1997" "04802-111"
293 "24/05/1993" "04783-000"
294 "29/04/1993" "04783-150"
295 "02/09/1989" "04809-221"
296 "14/06/1979" "04788-070"
297 "19/12/1977" "04788-230"
298 "01/05/1982" "04809-111"
299 "17/12/1992" "04815-181"
300 "07/08/1977" "04789-151"
301 "04/03/1976" "04816-041"
302 "13/07/1996" "04772-004"
303 "31/12/1995" ""
304 "08/11/1982" "04772-002"
305 "27/01/1970" ""
306 "14/05/1995" "04772-005"
307 "07/10/1994" ""
308 "23/01/1992" "04809-141"
309 "18/03/1970" "04789-041"
310 "06/05/1989" "04792-111"
311 "02/02/1998" "04788-041"
312 "06/11/1985" "04809-271"
313 "26/09/1995" "04786-001"
314 "31/01/1979" "01034-031"
315 "17/05/1970" "01028-021"
316 "15/03/1997" "01033-040"
317 "26/08/1998" "01033-902"
318 "06/12/1995" ""
319 "07/10/1996" "01007-041"
320 "03/08/1972" "01031-901"
321 "16/11/1990" ""
322 "28/12/1979" "01027-021"
323 "20/12/1970" "01010-010"
324 "12/02/1988" "01010-900"
325 "10/02/1973" ""
326 "10/09/1987" "01010-901"
327 "27/06/1989" ""
328 "11/08/1970" "01034-001"
329 "24/11/1983" ""
330 "20/08/1970" "01034-902"
331 "01/01/1990" ""
332 "14/06/1999" "01034-903"
333 "11/11/1983" ""
334 "25/04/1983" "01034-000"
335 "06/12/1983" ""
336 "24/02/1986" "01025-011"
337 "27/07/1988" "01036-971"
338 "03/03/1990" "01023-001"
339 "27/03/1972" ""
340 "12/02/1998" "01023-902"
341 "03/10/1981" ""
342 "27/11/1978" "01023-000"
343 "22/03/1986" ""
344 "04/05/1987" "01033-020"
345 "04/12/1992" "01033-905"
346 "09/02/1976" ""
347 "15/08/1972" "01033-904"
348 "03/10/1990" ""
349 "05/03/1988" "01014-001"
350 "22/06/1999" ""
351 "04/07/1985" "01014-913"
352 "07/07/1999" ""
353 "08/03/1983" "01014-906"
354 "13/07/1973" ""
355 "04/07/1983" "01228-200"
356 "05/12/1992" ""
357 "18/11/1988" "01228-904"
358 "19/12/1996" ""
359 "27/02/1973" "01227-902"
360 "05/12/1973" ""
361 "18/02/1999" "01227-200"
362 "16/10/1978" ""
363 "05/07/1997" "01309-011"
364 "12/06/1989" ""
365 "03/07/1995" "01309-010"
366 "25/05/1996" ""
367 "20/09/1981" "01309-905"
368 "04/08/1997" ""
369 "13/03/1979" "01309-904"
370 "17/12/1986" ""
371 "28/10/1974" "01309-906"
372 "07/11/1980" ""
373 "28/12/1973" "01305-000"
374 "11/02/1982" ""
375 "19/04/1993" "01305-902"
376 "22/07/1988" ""
377 "15/09/1992" "01305-900"
378 "14/09/1985" ""
379 "29/07/1975" "01305-901"
380 "26/11/1973" ""
381 "08/05/1972" "01305-904"
382 "26/05/1974" ""
383 "23/04/1986" "01304-902"
384 "30/07/1973" ""
385 "21/02/1991" "01305-904"
386 "30/05/1974" ""
387 "13/12/1987" "01304-900"
388 "18/04/1974" ""
389 "09/02/1993" "01304-902"
390 "08/10/1994" ""
391 "12/11/1996" "01304-000"
392 "22/02/1981" ""
393 "18/12/1980" "01305-101"
394 "06/10/1972" ""
395 "01/11/1988" "01304-002"
396 "15/12/1978" ""
397 "16/05/1997" "01243-031"
398 "24/10/1987" "01307-031"
399 "30/05/1975" "01415-000"
400 "19/05/1999" ""
401 "27/01/1994" "01415-908"
402 "22/08/1983" ""
403 "13/05/1991" "04747-141"
404 "16/05/1979" "05874-184"
405 "24/02/1983" "04746-110"
406 "01/05/1997" "04746-902"
407 "29/04/1992" ""
408 "18/05/1993" "04756-181"
409 "13/05/1986" "05874-187"
410 "19/02/1978" "04746-101"
411 "15/06/1997" "04747-030"
412 "13/09/1982" "04747-901"
413 "15/01/1979" ""
414 "12/07/1983" "04746-050"
415 "01/08/1986" "04746-901"
416 "20/06/1999" ""
417 "07/07/1977" "04745-071"
418 "26/07/1971" "04748-051"
419 "21/01/1975" ""
420 "08/11/1999" "05820-246"
421 "08/07/1972" "04742-011"
422 "13/02/1988" "04710-021"
423 "30/07/1975" ""
424 "24/05/1986" "04747-131"
425 "02/07/1997" "04754-021"
426 "11/01/1993" "05820-233"
427 "04/08/1982" "04744-021"
428 "16/11/1976" "04710-000"
429 "15/04/1973" ""
430 "14/09/1987" "04710-900"
431 "20/06/1984" ""
432 "04/06/1981" "04710-001"
433 "21/11/1975" ""
434 "28/06/1995" "04708-010"
435 "20/06/1989" "04708-900"
436 "01/01/1976" ""
437 "08/07/1988" "79117-735"
438 "06/10/1986" "03123-051"
439 "09/02/1995" "79906-450"
440 "29/06/1981" "79906-480"
441 "19/12/1979" "03102-051"
442 "15/11/1972" ""
443 "10/10/1993" "03169-011"
444 "28/06/1984" "03170-901"
445 "20/03/1979" ""
446 "20/07/1999" "03190-111"
447 "14/02/1984" "03169-030"
448 "27/10/1988" "03169-900"
449 "20/02/1978" ""
450 "09/11/1999" "03162-071"
451 "04/08/1996" "03112-121"
452 "19/06/1983" "79906-497"
453 "11/01/1974" "03122-011"
454 "21/10/1971" "03123-902"
455 "26/08/1997" ""
456 "14/11/1998" "03122-901"
457 "15/03/1991" ""
458 "27/07/1975" "03178-151"
459 "02/12/1998" "03169-021"
460 "29/01/1977" "03166-031"
461 "15/03/1972" "03167-071"
462 "08/02/1984" "03178-101"
463 "24/02/1991" "03125-011"
464 "25/03/1986" "03122-001"
465 "23/06/1980" "03110-051"
466 "16/02/1990" "03106-061"
467 "12/08/1992" "79117-733"
468 "31/07/1973" "03190-131"
469 "01/03/1996" "79117-737"
470 "25/06/1997" "03124-010"
471 "21/07/1971" "03124-115"
472 "06/02/1981" "03183-111"
473 "25/06/1975" "03125-051"
474 "17/06/1997" "03195-011"
475 "01/01/1979" "03165-051"
476 "15/09/1989" "03122-021"
477 "24/04/1996" "03111-031"
478 "21/09/1991" "74420-202"
479 "04/08/1970" "03111-021"
480 "14/12/1974" "03115-041"
481 "04/12/1976" "03125-071"
482 "29/10/1989" "03182-071"
483 "22/06/1990" "03164-101"
484 "26/01/1978" "03178-141"
485 "09/03/1997" "03103-097"
486 "09/02/1994" "03118-030"
487 "21/06/1977" ""
488 "05/09/1992" "03118-020"
489 "14/05/1991" ""
490 "02/04/1989" "03164-151"
491 "18/11/1995" "03112-081"
492 "10/10/1999" "03178-180"
493 "10/03/1999" "03178-040"
494 "23/07/1983" "04602-959"
495 "22/05/1978" ""
496 "24/11/1970" "04602-003"
497 "21/07/1991" ""
498 "11/09/1994" "04602-004"
499 "01/09/1989" ""
500 "03/04/1982" "04602-005"
501 "26/02/1991" ""
502 "02/08/1985" "04602-006"
503 "28/01/1975" ""
504 "12/06/1991" "04602-007"
505 "17/03/1984" ""
506 "19/05/1971" "04602-040"
507 "15/09/1979" "04621-031"
508 "27/11/1973" "04557-050"
509 "22/06/1994" ""
510 "27/10/1974" "04557-051"
511 "19/02/1983" ""
512 "20/09/1987" "04601-094"
513 "26/11/1996" "04558-050"
514 "20/01/1998" "04558-090"
515 "02/03/1983" "04557-061"
516 "19/11/1981" "04562-061"
517 "04/09/1999" "04601-031"
518 "10/03/1975" "04568-011"
519 "21/03/1983" "04561-061"
520 "22/10/1975" "04557-071"
521 "21/11/1981" "04602-046"
522 "03/10/1976" "04601-070"
523 "05/12/1978" ""
524 "27/12/1999" "04601-071"
525 "21/04/1972" ""
526 "19/07/1982" "04555-021"
527 "26/10/1982" "04602-021"
528 "03/02/1993" "04558-041"
529 "21/03/1993" ""
530 "02/07/1972" "04570-002"
531 "07/05/1992" ""
532 "12/06/1971" "04561-031"
533 "19/11/1992" "04560-000"
534 "19/01/1995" ""
535 "01/03/1981" "04560-911"
536 "17/12/1977" ""
537 "16/10/1981" "04560-912"
538 "25/10/1971" ""
539 "01/04/1971" "04560-909"
540 "09/02/1978" ""
541 "02/02/1996" "04560-910"
542 "11/02/1997" ""
543 "08/09/1989" "04560-908"
544 "20/06/1979" ""
545 "14/03/1981" "04560-914"
546 "12/04/1998" ""
547 "21/05/1990" "04560-915"
548 "03/03/1972" ""
549 "29/10/1990" "04560-913"
550 "27/01/1988" ""
551 "02/03/1981" "04560-001"
552 "09/10/1990" ""
553 "04/01/1986" "04560-002"
554 "08/05/1984" ""
555 "18/04/1984" "04571-081"
556 "08/03/1985" "04623-070"
557 "08/09/1993" ""
558 "18/12/1988" "04623-071"
559 "09/08/1989" ""
560 "19/03/1987" "04562-021"
561 "25/01/1970" "04623-140"
562 "04/03/1978" "04623-000"
563 "31/03/1995" "04570-140"
564 "31/08/1972" "04570-904"
565 "09/04/1982" ""
566 "30/09/1975" "04568-021"
567 "02/01/1992" "04559-000"
568 "20/01/1980" ""
569 "13/08/1978" "04559-001"
570 "29/05/1980" ""
571 "23/09/1972" "04559-901"
572 "15/12/1984" ""
573 "18/02/1972" "04556-904"
574 "11/12/1979" "04556-200"
575 "04/08/1987" ""
576 "24/05/1984" "04555-002"
577 "24/09/1979" ""
578 "13/03/1986" "04556-301"
579 "13/03/1994" ""
580 "28/03/1974" "04555-003"
581 "30/10/1992" ""
582 "12/10/1997" "04556-401"
583 "21/09/1970" ""
584 "20/05/1995" "04555-004"
585 "20/01/1989" ""
586 "25/01/1986" "04556-501"
587 "07/02/1976" ""
588 "20/10/1987" "04555-011"
589 "30/06/1978" "04602-011"
590 "05/10/1974" "04570-021"
591 "25/12/1992" "04561-081"
592 "24/02/1999" "04601-090"
593 "05/07/1985" "04601-028"
594 "02/06/1970" "04568-041"
595 "20/10/1986" "04621-011"
596 "13/08/1982" "04561-011"
597 "06/10/1980" "04557-000"
598 "28/02/1977" ""
599 "23/10/1970" "04557-001"
600 "14/08/1996" ""
601 "16/08/1992" "04622-010"
602 "09/04/1971" ""
603 "20/03/1972" "04622-011"
604 "12/01/1983" ""
605 "06/12/1986" "04623-051"
606 "04/01/1978" "04562-011"
607 "12/01/1997" "04622-041"
608 "09/06/1995" "04564-011"
609 "30/07/1988" "29903-206"
610 "13/08/1981" ""
611 "18/12/1996" "35500-454"
612 "03/05/1999" "04783-151"
613 "22/03/1997" "04809-221"
614 "02/12/1974" "04788-071"
615 "09/07/1973" "14093-041"
616 "21/02/1994" "04788-231"
617 "23/10/1992" "75909-812"
618 "05/02/1994" "86802-779"
619 "18/04/1975" "29903-591"
620 "16/05/1984" "04809-111"
621 "21/09/1973" "85814-498"
622 "22/03/1994" ""
623 "16/05/1974" "29129-656"
624 "08/04/1996" "85814-423"
625 "13/08/1999" "29129-663"
626 "01/12/1983" "29129-669"
627 "07/04/1975" "29129-669"
628 "15/01/1989" "86710-191"
629 "14/11/1978" "85814-396"
630 "30/01/1970" "95052-061"
631 "30/06/1986" ""
632 "13/10/1975" "87511-123"
633 "04/07/1991" "04815-181"
634 "12/03/1997" "29903-281"
635 "05/01/1981" "04789-151"
636 "01/08/1997" "04816-041"
637 "15/09/1971" "01050-906"
638 "30/01/1995" ""
639 "12/04/1986" "01028-000"
640 "19/11/1997" "01028-900"
641 "01/07/1973" ""
642 "09/11/1983" "01026-011"
643 "28/04/1981" ""
644 "01/07/1981" "01023-010"
645 "20/12/1990" "01023-900"
646 "18/12/1984" ""
647 "09/11/1971" "01050-061"
648 "11/08/1980" "01015-010"
649 "17/06/1985" "01015-901"
650 "06/02/1983" ""
651 "21/10/1975" "01015-900"
652 "10/07/1998" ""
653 "14/08/1990" "01027-001"
654 "31/07/1975" ""
655 "02/03/1974" "01027-000"
656 "29/11/1983" ""
657 "05/01/1990" "01032-031"
658 "18/01/1972" "01027-010"
659 "13/07/1987" "01027-900"
660 "12/09/1995" ""
661 "25/08/1981" "01022-001"
662 "26/07/1982" "01415-906"
663 "09/12/1975" ""
664 "16/02/1994" "01415-907"
665 "02/04/1978" ""
666 "21/05/1978" "01415-902"
667 "25/08/1999" ""
668 "26/08/1988" "01415-905"
669 "12/07/1986" ""
670 "22/11/1974" "01415-900"
671 "27/03/1982" ""
672 "03/06/1978" "01415-904"
673 "06/08/1991" ""
674 "24/03/1992" "01415-910"
675 "26/05/1994" ""
676 "14/11/1999" "01415-909"
677 "05/11/1994" ""
678 "28/02/1972" "01415-903"
679 "10/07/1985" ""
680 "19/12/1989" "01415-901"
681 "29/04/1997" ""
682 "30/08/1977" "01415-001"
683 "08/07/1985" ""
684 "08/06/1997" "01415-002"
685 "13/04/1980" ""
686 "16/05/1972" "01415-003"
687 "09/10/1971" ""
688 "13/11/1981" "01415-004"
689 "24/01/1978" ""
690 "12/12/1977" "01415-005"
691 "19/08/1987" ""
692 "23/05/1996" "01415-006"
693 "30/08/1990" ""
694 "01/04/1995" "01415-007"
695 "03/05/1975" ""
696 "03/09/1999" "01415-008"
697 "04/12/1978" ""
698 "06/12/1971" "01415-009"
699 "29/09/1984" ""
700 "21/12/1982" "01243-061"
701 "20/05/1979" "01303-001"
702 "05/06/1993" ""
703 "20/01/1995" "01303-000"
704 "13/01/1972" ""
705 "31/03/1989" "01243-011"
706 "24/03/1990" "01416-021"
707 "20/07/1977" "01304-011"
708 "14/02/1974" "01243-071"
709 "03/05/1994" "01239-061"
710 "26/07/1977" "01307-013"
711 "19/10/1992" ""
712 "06/08/1975" "01307-014"
713 "09/10/1978" ""
714 "20/07/1995" "01307-012"
715 "11/05/1983" ""
716 "16/02/1975" "01307-011"
717 "31/08/1988" ""
718 "10/06/1984" "01309-041"
719 "04/04/1988" "01302-051"
720 "07/06/1975" "01307-021"
721 "15/07/1981" "01243-041"
722 "19/04/1982" "01309-031"
723 "07/11/1991" "01303-020"
724 "10/02/1985" "01303-903"
725 "06/12/1981" ""
726 "08/06/1991" "01303-909"
727 "11/08/1983" ""
728 "22/05/1993" "01303-904"
729 "12/02/1981" ""
730 "14/04/1998" "01307-000"
731 "24/12/1981" ""
732 "09/10/1986" "01307-001"
733 "31/01/1982" ""
734 "21/07/1978" "01307-908"
735 "15/12/1981" ""
736 "29/10/1988" "01307-906"
737 "10/11/1977" ""
738 "22/01/1992" "01307-910"
739 "23/09/1997" ""
740 "02/03/1975" "01307-901"
741 "13/10/1991" ""
742 "24/03/1991" "01307-900"
743 "30/11/1974" ""
744 "25/08/1997" "01307-907"
745 "05/09/1980" ""
746 "10/11/1998" "01307-903"
747 "05/07/1987" ""
748 "18/01/1981" "01307-905"
749 "12/10/1986" ""
750 "27/08/1972" "03127-180"
751 "07/05/1997" "03103-974"
752 "07/04/1978" "03121-971"
753 "15/12/1983" "03165-970"
754 "03/04/1988" "03165-971"
755 "23/02/1975" "03195-971"
756 "19/03/1991" "03110-030"
757 "24/07/1988" "03110-902"
758 "19/05/1979" ""
759 "09/04/1977" "03184-011"
760 "03/04/1991" "03103-031"
761 "27/11/1976" "03127-191"
762 "10/06/1992" "03106-021"
763 "05/11/1998" "03172-031"
764 "12/06/1983" "03106-041"
765 "25/05/1974" "03128-101"
766 "22/03/1990" "03170-050"
767 "11/07/1997" "03170-904"
768 "13/01/1978" ""
769 "24/04/1990" "03123-010"
770 "24/10/1972" "03123-902"
771 "27/09/1981" ""
772 "01/02/1991" "03123-900"
773 "23/09/1980" ""
774 "12/07/1980" "03119-041"
775 "22/05/1995" "03107-021"
776 "21/10/1988" ""
777 "22/01/1985" "03168-016"
778 "01/11/1996" "03103-051"
779 "05/09/1971" "03176-051"
780 "13/05/1999" "03168-903"
781 "16/11/1989" ""
782 "07/06/1992" "03176-001"
783 "09/02/1997" ""
784 "19/12/1981" "03176-902"
785 "31/07/1997" ""
786 "25/05/1976" "03193-141"
787 "21/06/1995" "03127-211"
788 "21/11/1994" "03183-081"
789 "06/04/1980" "03184-091"
790 "11/07/1970" "03170-061"
791 "17/03/1983" "03102-004"
792 "08/04/1972" "04783-156"
793 "31/01/1989" "04789-031"
794 "22/11/1984" "04809-001"
795 "26/02/1986" "04783-161"
796 "02/05/1997" "04788-021"
797 "30/07/1994" "04792-041"
798 "18/11/1983" "04786-060"
799 "09/06/1993" "04786-020"
800 "20/12/1977" "04802-154"
801 "10/01/1995" "04809-171"
802 "28/08/1974" "04815-211"
803 "25/07/1994" "04792-021"
804 "11/05/1993" "04815-031"
805 "28/09/1991" "04789-100"
806 "02/01/1991" "04789-050"
807 "01/03/1977" "04802-191"
808 "30/08/1991" "04783-031"
809 "01/12/1992" "04788-171"
810 "01/09/1988" "04786-081"
811 "30/07/1981" "05874-171"
812 "05/07/1981" "04748-041"
813 "12/07/1991" ""
814 "14/01/1983" "04751-041"
815 "07/04/1972" "04739-051"
816 "29/10/1987" "05874-188"
817 "09/02/1988" "04734-010"
818 "25/08/1990" "04734-903"
819 "16/02/1972" ""
820 "13/09/1974" "04741-131"
821 "17/10/1973" "04742-041"
822 "01/08/1976" "04745-000"
823 "14/04/1979" ""
824 "06/02/1995" "04745-900"
825 "12/01/1976" ""
826 "22/02/1980" "04745-001"
827 "17/08/1984" ""
828 "10/03/1973" "04505-001"
829 "18/06/1997" ""
830 "19/08/1970" "04506-905"
831 "14/01/1993" ""
832 "02/08/1999" "04506-903"
833 "11/10/1987" ""
834 "14/09/1972" "04506-000"
835 "28/08/1996" ""
836 "08/06/1988" "04505-002"
837 "13/06/1983" ""
838 "28/12/1972" "04506-002"
839 "18/07/1989" ""
840 "06/04/1972" "04505-003"
841 "12/11/1977" ""
842 "15/12/1993" "04506-003"
843 "07/06/1988" ""
844 "16/05/1991" "04505-004"
845 "30/04/1977" ""
846 "26/02/1974" "04506-004"
847 "08/02/1995" ""
848 "26/06/1984" "04505-005"
849 "25/10/1980" ""
850 "31/12/1975" "04555-001"
851 "18/05/1979" ""
852 "09/03/1993" "04556-101"
853 "21/03/1996" ""
854 "16/06/1980" "04741-151"
855 "27/04/1980" "04708-000"
856 "24/12/1979" ""
857 "18/04/1993" "04708-001"
858 "16/11/1974" ""
859 "07/08/1987" "04932-101"
860 "30/01/1973" "05874-241"
861 "20/07/1986" "04747-161"
862 "03/10/1994" "04709-131"
863 "28/10/1986" "04742-061"
864 "24/09/1970" "04748-031"
865 "15/11/1990" ""
866 "24/03/1982" "04751-050"
867 "13/11/1993" "04751-959"
868 "30/04/1976" ""
869 "17/05/1994" "04756-041"
870 "23/02/1990" "04710-041"
871 "15/10/1986" ""
872 "21/05/1981" "04578-000"
873 "22/06/1976" "04578-903"
874 "11/03/1978" ""
875 "16/07/1991" "04578-900"
876 "13/08/1990" ""
877 "05/10/1975" "04578-906"
878 "01/09/1990" ""
879 "01/10/1975" "04578-908"
